House,Date,Con,Lab,LD
Marplan/Guardian,1987-06-10*,42,35,21
MORI/Times,10/06/1987,44,32,22
Marplan/Today,1987-06-09*,43,35,21
Audience Selection,1987-06-09*,43,34,21
Gallup/Telegraph,09/06/1987,41,34,23.5
Harris/TV-AM,09/06/1987,42,35,21
Marplan/Guardian,1987-06-08*,45,32,21
Harris/TV-AM,06/06/1987,43,33,22
Marplan/Today,1987-06-05*,43,35,21
Gallup/Sunday Telegraph,05/06/1987,41.5,34.5,22.5
Marplan/Guardian,1987-06-04*,44,34,20
Harris/Observer,04/06/1987,44,33,21
MORI/Sunday Times,04/06/1987,43,32,24
Gallup/Telegraph,03/06/1987,40.5,36.5,21.5
Marplan/Today,1987-06-01*,44,33,21
Harris,1987-05-31*,42,35,21
Harris/TV-AM,29/05/1987,45,32,22
Gallup/Sunday Telegraph,29/05/1987,41.5,34,22.5
Marplan/Guardian,1987-05-28*,44,32,21
Harris/Observer,28/05/1987,41,37,21
MORI/Sunday Times,28/05/1987,44,32,23
Gallup/Telegraph,27/05/1987,44.5,36,18
Marplan/Today,1987-05-26*,42,35,20
Harris/TV-AM,25/05/1987,42,37,21
MORI,1987-05-24*,44,31,24
Gallup/Sunday Telegraph,22/05/1987,42,33,23
Marplan/Guardian,1987-05-21*,41,33,21
Harris/TV-AM,21/05/1987,43,36,20
MORI/Sunday Times,21/05/1987,44,31,24
Harris/Observer,21/05/1987,41,34,22
Gallup,20/05/1987,42,33,23
NOP,1987-05-20*,41,33,23
Marplan/Today,1987-05-18*,41,33,24
Harris/TV-AM,17/05/1987,42,32,24
Harris/Observer,15/05/1987,42,33,23
MORI/Sunday Times,14/05/1987,44,30,25
Marplan/Express,13/05/1987,41,30,26
Marplan/Guardian,12/05/1987,43,29,25
MORI,12/05/1987,44,31,23
NOP/Evening Standard,11/05/1987,46,28,25
Gallup/Telegraph,11/05/1987,39,28,30
Harris/LWT,07/05/1987,44,33,21
NOP/Independent,04/05/1987,39,34,25
Harris/TV-AM,03/05/1987,44,30,25
MORI/Sunday Times,30/04/1987,44,31,23
Harris/Capital Radio,27/04/1987,42,31,25
Marplan/Today,27/04/1987,39,33,24
Harris/Observer,23/04/1987,42,31,25
NOP/Evening Standard,15/04/1987,44,29,25
Gallup/Telegraph,13/04/1987,40.5,28,29
MORI/Evening Standard,12/04/1987,42,29,26
Marplan/PA,10/04/1987,40,30,27
Marplan/Guardian,07/04/1987,38,32,27
Harris/TV-AM,05/04/1987,43,30,26
MORI/Sunday Times,02/04/1987,41,29,29
Marplan/Express,02/04/1987,39,29,30
Marplan/Today,24/03/1987,36,31,31
Gallup/Telegraph,23/03/1987,37.5,29.5,31.5
MORI/Sunday Times,20/03/1987,39,33,26
Harris/Observer,19/03/1987,39,33,26
Gallup/Sunday Telegraph,17/03/1987,38.5,30,30.5
Marplan/Guardian,10/03/1987,38,32,27
MORI/Sunday Times,10/03/1987,41,32,25
NOP/Evening Standard,02/03/1987,39,34,25
Harris/TV-AM,01/03/1987,36,33,29
MORI/Sunday Times,25/02/1987,41,35,21
Harris/Observer,19/02/1987,39,37,23
Gallup/Telegraph,16/02/1987,36,34.5,27.5
Marplan/Guardian,10/02/1987,38,35,25
MORI/Sunday Times,10/02/1987,39,36,23
NOP/Evening Standard,09/02/1987,39,37,23
Harris/TV-AM,01/02/1987,37,39,22
NOP/Channel 4,28/01/1987,38,40,20
MORI/Sunday Times,28/01/1987,39,38,21
Marplan/Today,27/01/1987,38.5,38.5,20
Harris/Observer,22/01/1987,44,36,18
Gallup/Telegraph,20/01/1987,34.5,39.5,23.5
NOP/Evening Standard,14/01/1987,42,37,19
Marplan/Guardian,12/01/1987,38,36,23
Harris/TV-AM,11/01/1987,42,37,20
MORI/Sunday Times,30/12/1986,39,38,21
Gallup,15/12/1986,41,32.5,23.5
MORI/Sunday Times,12/12/1986,41,39,19
Marplan/Guardian,08/12/1986,39,38,21
Harris/TV-AM,07/12/1986,41,35,22
NOP,1986-12-03*,41,38,19.5
MORI/Evening Standard,26/11/1986,41,39,18
Marplan/Today,24/11/1986,39,38,20
Gallup/Telegraph,17/11/1986,36,39.5,22
MORI,1986-11-12*,39,41,18
NOP,1986-11-11*,41,38,18
Marplan/Guardian,11/11/1986,39,36,23
MORI/Sunday Times,04/11/1986,40,39,18
Harris/TV-AM,02/11/1986,40,36,21
Marplan/PA,24/10/1986,41,37.5,19
MORI/Evening Standard,22/10/1986,39,41,17
Gallup/Telegraph,20/10/1986,37.5,37.5,22
Marplan/Today,20/10/1986,40,41,17
0,1986-10-09*,36,39,23
Marplan/Guardian,07/10/1986,36,39,23
Harris/Observer,03/10/1986,38,41,20
Marplan/Today,23/09/1986,34,40,24
MORI/Evening Standard,23/09/1986,35,37,26
Gallup/Telegraph,15/09/1986,32.5,38,27.5
Marplan/Guardian,09/09/1986,34,40,24
Marplan/Today,27/08/1986,35,38,24
MORI/Evening Standard,19/08/1986,37,37,24
Gallup/Telegraph,11/08/1986,30,36.5,30
Marplan/Guardian,11/08/1986,32,38,27
MORI/Times,31/07/1986,32,41,25
Marplan/Today on S,29/07/1986,29.5,41,27.5
MORI/Evening Standard,22/07/1986,36,37,25
Gallup/Telegraph,14/07/1986,33,38,27
Marplan/Guardian,14/07/1986,31,38,28
MORI/Evening Standard,24/06/1986,34,40,23
Gallup/Telegraph,16/06/1986,34,39,24.5
Marplan/Guardian,16/06/1986,33,39,26
Harris/Observer,12/06/1986,31,40,25
MORI/Evening Standard,21/05/1986,32,40,26
Marplan/Guardian,19/05/1986,28,39,30
Gallup/Telegraph,12/05/1986,27.5,37,32.5
MORI/Sunday Times,02/05/1986,36,38,23
MORI/Evening Standard,22/04/1986,34,39,25
Gallup/Telegraph,21/04/1986,33.5,38,26
Gallup/Telegraph,14/04/1986,28,38.5,31.5
Marplan/Guardian,08/04/1986,32,35,30
MORI,26/03/1986,34,36,28
Gallup/Telegraph,24/03/1986,29.5,34,34.5
MORI/Sunday Times,21/03/1986,31,39,28
Marplan/Guardian,10/03/1986,32,35,31
MORI/Evening Standard,26/02/1986,34,35,30
MORI/Sunday Times,12/02/1986,33,37,29
Gallup/Telegraph,10/02/1986,29.5,35.5,33.5
Marplan/Guardian,10/02/1986,27,36,35
Harris/Observer,24/01/1986,31,36,30
Gallup/Telegraph,13/01/1986,29.5,34,35
Marplan/Guardian,12/01/1986,29,36,33
Harris/ITN,12/01/1986,32,33,31
MORI/Evening Standard,08/01/1986,33,38,28
Gallup/Telegraph,09/12/1985,33,32.5,32.5
Marplan/Guardian,09/12/1985,35,33,30
MORI,08/12/1985,35,35,28
MORI/Evening Standard,24/11/1985,36,36,25
Gallup/Telegraph,11/11/1985,35,34,29.5
Marplan/Guardian,11/11/1985,34,35,29
Gallup/Telegraph,21/10/1985,32,38,28
MORI/Evening Standard,20/10/1985,37,36,25
NOP/Mail on Sunday,19/10/1985,37,34,28
Marplan/Guardian,14/10/1985,32,34,32
Harris/Observer,04/10/1985,32,39,27
MORI/Times,03/10/1985,34,36,28
Harris/Thames,29/09/1985,33,32,32
MORI/Evening Standard,22/09/1985,30,33,35
Gallup/Telegraph,16/09/1985,29,29.5,39
Marplan/Guardian,16/09/1985,31,32,36
MORI/Evening Standard,08/09/1985,31,37,31
Harris/LWT,07/09/1985,35,36,26
Marplan/Guardian,03/09/1985,30,34,35
MORI/Evening Standard,18/08/1985,31,35,31
Gallup/Telegraph,12/08/1985,24,40,34
Marplan/Guardian,12/08/1985,31,36,31
MORI/Sunday Times,09/08/1985,33,37,29
MORI/Evening Standard,21/07/1985,33,34,31
Gallup/Telegraph,15/07/1985,27.5,38,32.5
Marplan/Guardian,08/07/1985,31,34,33
MORI/Evening Standard,23/06/1985,35,36,27
MORI/Sunday Times,21/06/1985,32,40,26
Gallup/Telegraph,17/06/1985,34.5,34.5,30
Marplan/Guardian,10/06/1985,31,36,32
MORI/Evening Standard,26/05/1985,33,35,30
MORI/Sunday Times,13/05/1985,34,36,28
Gallup/Telegraph,13/05/1985,30.5,34,33.5
Marplan/Guardian,13/05/1985,29,35,35
MORI/Evening Standard,28/04/1985,38,37,24
Gallup/Telegraph,22/04/1985,34,37.5,26.5
Marplan/Guardian,15/04/1985,33,38,28
Gallup/Telegraph,25/03/1985,33,39.5,25.5
MORI/Evening Standard,24/03/1985,36,40,23
MORI/Sunday Times,22/03/1985,37,39,22
Marplan/Guardian,11/03/1985,36,36,27
NOP/Mail on Sunday,08/03/1985,35,35,26
Harris/Observer,07/03/1985,40,38,19
Marplan/Guardian,25/02/1985,38,36,25
MORI/Evening Standard,24/02/1985,39,35,24
MORI/LWT,18/02/1985,38,40,19
Gallup/Telegraph,11/02/1985,35,32,31.5
Marplan/Guardian,11/02/1985,38,35,26
MORI/Sunday Times,06/02/1985,37,37,24
Gallup/Telegraph,14/01/1985,39,33,25.5
Marplan/Guardian,14/01/1985,41,33,25
MORI/Evening Standard,07/01/1985,42,34,21
NOP/Daily Mail,05/01/1985,33,38,28
MORI/Sunday Times,28/12/1984,38,36,25
Gallup/Telegraph,10/12/1984,39.5,31,27.5
Marplan/Guardian,10/12/1984,41,32,26
MORI,10/12/1984,40,36,22
MORI/Sunday Times,07/12/1984,41,37,20
MORI/Evening Standard,19/11/1984,43,35,19
Gallup/Telegraph,12/11/1984,44.5,30.5,23.5
Marplan/Guardian,05/11/1984,42,33,24
Gallup/Telegraph,22/10/1984,44.5,32,21.5
MORI/Evening Standard,22/10/1984,44,35,20
Marplan/Guardian,08/10/1984,38,37,23
MORI/Sunday Times,04/10/1984,43,35,19
Marplan/Guardian,24/09/1984,38,36,24
MORI/Evening Standard,21/09/1984,42,36,20
Marplan/Guardian,11/09/1984,39,38,21
Gallup/Telegraph,10/09/1984,37,36,25.5
MORI/Times,10/09/1984,40,39,19
MORI/Sunday Times,29/08/1984,39,40,19
MORI/Evening Standard,20/08/1984,39,39,21
Gallup/Telegraph,13/08/1984,36,39,22.5
Marplan/Guardian,13/08/1984,36,39,24
MORI,23/07/1984,37,40,20
Gallup/Telegraph,16/07/1984,37.5,38.5,22
Marplan/Guardian,10/07/1984,34.5,39,25.5
MORI/Evening Standard,25/06/1984,39,39,21
Marplan/Sunday Mirror,1984-06-16*,38,39,22
Gallup/Telegraph,11/06/1984,37.5,38,23
Marplan/Guardian,11/06/1984,37,38,23
MORI/Sunday Times,08/06/1984,42,38,18
MORI/Evening Standard,29/05/1984,40,38,21
Gallup/Telegraph,14/05/1984,38.5,36.5,23
Marplan/Guardian,14/05/1984,38,37,23
MORI/Evening Standard,01/05/1984,40,39,20
MORI/Sunday Times,25/04/1984,42,36,20
Harris/Observer,17/04/1984,40,36,22
Gallup/Telegraph,16/04/1984,41,36.5,20.5
Marplan/Guardian,16/04/1984,40,37,21
MORI/Evening Standard,20/03/1984,41,40,17
Marplan/Guardian,19/03/1984,39,39,22
Gallup/Telegraph,19/03/1984,41,38.5,19.5
MORI/Sunday Times,1984-03-03*,38,41,18
MORI/Evening Standard,20/02/1984,41,38,19
Gallup/Telegraph,13/02/1984,43,33.5,21.5
Marplan/Guardian,13/02/1984,39,40,20
Harris/Observer,1984-01-20*,43,36,18
NOP/Mail on Sunday,1984-01-20*,45,33,20
Gallup/Telegraph,16/01/1984,41.5,38,19.5
Marplan/Guardian,16/01/1984,42,38,19
MORI/Evening Standard,09/01/1984,42,37,19
MORI/Sunday Times,1983-12-17*,40.5,39.5,18
Gallup/Telegraph,12/12/1983,42.5,36,19.5
MORI,09/12/1983,42,37,19
Marplan/Guardian,07/12/1983,41,37,21
MORI/Sunday Times,1983-12-03*,44,37,18
MORI,21/11/1983,39,37,22
Gallup/Telegraph,14/11/1983,43.5,36,19.5
Marplan/Guardian,09/11/1983,42,35,22
NOP/Daily Mail,07/11/1983,44,32,22
MORI/Sunday Times,1983-11-05*,43,35,20
Gallup/Telegraph,24/10/1983,42,35.5,20.5
MORI/Evening Standard,24/10/1983,42,37,19
Marplan/Guardian,12/10/1983,42,37,20
Harris/Observer,06/10/1983,42,39,18
MORI,26/09/1983,45,27,26
Gallup/Telegraph,12/09/1983,45.5,24.5,29
MORI/Daily Star,22/08/1983,46,30,22
Gallup/Telegraph,15/08/1983,44.5,25,29
Marplan/Guardian,10/08/1983,45,30,24
MORI/Express,25/07/1983,44,30,25
Gallup/Telegraph,11/07/1983,44,28.5,26
MORI/Daily Star,20/06/1983,43,27,29
