House,Date,Con,Lab,LD
MORI/Express,08/06/1983,47,26,25
Harris/Observer,08/06/1983,47,25,26
Gallup/Telegraph,08/06/1983,45.5,26.5,26
Marplan/Guardian,08/06/1983,46,26,26
NOP/Northcliffe,08/06/1983,47,25,26
MORI/Evening Standard,08/06/1983,44,28,26
NOP/Daily Mail,07/06/1983,46,28,24
Audience Selection/Sun,07/06/1983,46,23,29
Marplan/Guardian,06/06/1983,47,26,25
Audience Selection/Sun,05/06/1983,45,24,28
Harris/Observer,03/06/1983,47,28,23
Marplan/Sunday Mirror,03/06/1983,44,27,27.5
NOP/Mail on Sunday,03/06/1983,47,29,23
Gallup/Sunday Telegraph,02/06/1983,45.5,31.5,22
MORI/Sunday Times,02/06/1983,45,28,25
MORI/Express,02/06/1983,43,32,23
Marplan/Guardian,01/06/1983,47,30,22
Harris/TV-Eye,01/06/1983,46,28,24
MORI/Daily Star,31/05/1983,44,32,21
Audience Selection/Sun,31/05/1983,44,29,25
Gallup/Telegraph,30/05/1983,47.5,28,23
Audience Selection/TV-AM,30/05/1983,41,30,24
Harris/Observer,27/05/1983,47,30,21
Marplan/Sunday Mirror,27/05/1983,49.5,31,19
Gallup/Telegraph,26/05/1983,49,31.5,18
MORI/Express,26/05/1983,51,29,19
Marplan/Guardian,25/05/1983,47.5,32.5,19
Harris/Thames,25/05/1983,48,33,18
MORI/Sunday Times,25/05/1983,46,30,23
Audience Selection/Sun,24/05/1983,45,32,21
Gallup/Telegraph,23/05/1983,48,33,18
Audience Selection/TV-AM,23/05/1983,45,32,20
MORI/Daily Star,23/05/1983,51,33,15
NOP/Daily Mail,23/05/1983,52,33,14
Harris/Observer,20/05/1983,45,36,18
Marplan/Sunday Mirror,20/05/1983,47,34,18
MORI/Express,19/05/1983,46,37,16
MORI/Sunday Times,18/05/1983,47,30,21
Harris/Thames,18/05/1983,45,35,17
NOP/Daily Mail,17/05/1983,49,31,19
Audience Selection/Sun,17/05/1983,44,33,21
Gallup/Telegraph,16/05/1983,46,33,19
MORI/Daily Star,16/05/1983,44,37,17
Audience Selection/TV-AM,16/05/1983,46,31,21
MORI/Express,12/05/1983,49,34,15
MORI,11/05/1983,46,32,22
Harris/Thames,11/05/1983,52,31,17
MORI/Daily Star,10/05/1983,46,31,21
Gallup/Telegraph,09/05/1983,49,31.5,17.5
MORI,25/04/1983,45,30,23
MORI,23/04/1983,46,33,21
MORI,12/04/1983,43,34,22
Gallup/Telegraph,11/04/1983,40.5,35,22.5
MORI,23/03/1983,43,28,28
Gallup/Telegraph,21/03/1983,39.5,28.5,29
MORI,16/03/1983,42,28,27
MORI,09/03/1983,41,27,30
MORI,26/02/1983,39,26,34
MORI,23/02/1983,46,32,21
Gallup/Telegraph,14/02/1983,43.5,32.5,22
MORI,09/02/1983,45,32,21
MORI,26/01/1983,44,36,19
Gallup/Telegraph,17/01/1983,44,31.5,22.5
MORI,12/01/1983,44,35,20
MORI,15/12/1982,42,35,21
Gallup/Telegraph,13/12/1982,41,34.5,22
MORI,24/11/1982,43,35,21
Gallup/Telegraph,15/11/1982,42,34.5,21.5
MORI,10/11/1982,42,33,23
MORI,26/10/1982,43,32,23
Gallup/Telegraph,25/10/1982,40.5,29,27
MORI,12/10/1982,42,33,23
Gallup/Telegraph,13/09/1982,44,30.5,23
MORI,1982-08-31*,42,30,27
Gallup/Telegraph,16/08/1982,44.5,26.5,27.5
MORI,1982-07-31*,44,30,23
Gallup/Telegraph,12/07/1982,46.5,27.5,24
MORI,1982-06-30*,45,31,22
MORI,23/06/1982,51,24,23
Gallup/Telegraph,14/06/1982,45,25,28.5
MORI,1982-05-31*,48,28,24
MORI,26/05/1982,51,25,23
MORI,23/05/1982,48,31,20
Gallup/Telegraph,16/05/1982,41.5,28,29
MORI,16/05/1982,48,33,17
MORI,05/05/1982,38,32,28
MORI,1982-04-30*,44,30,24
MORI,30/04/1982,43,30,25
MORI,24/04/1982,39,32,27
MORI,21/04/1982,36,30,31
MORI,14/04/1982,33,34,30
Gallup/Telegraph,12/04/1982,31.5,29,37
MORI,1982-03-31*,35,30,33
Gallup/Telegraph,15/03/1982,31.5,33,33
MORI,1982-02-28*,34,34,30
Gallup/Telegraph,15/02/1982,27.5,34,36
NOP/Daily Mail,05/02/1982,41,36,21
MORI,1982-01-31*,30,33,34
MORI,25/01/1982,29,30,40
Gallup/Telegraph,18/01/1982,27.5,29.5,39.5
Gallup/Telegraph,14/12/1981,23,23.5,50.5
MORI,14/12/1981,27,29,43
NOP,03/12/1981,30.5,34.3,33.1
MORI,01/12/1981,27,27,44
NOP,01/12/1981,28.6,32.1,37.1
Gallup/Telegraph,16/11/1981,26.5,29,42
