House,Date,Con,Lab,LD
NOP/Independent,08/04/1992,39,42,17
Gallup/Telegraph,08/04/1992,38.5,38,20
MORI/Times,08/04/1992,38,39,20
ICM/Guardian,08/04/1992,38,38,20
Harris/ITN,07/04/1992,38,40,18
MORI/YTV,07/04/1992,37,40,20
Harris/Express,06/04/1992,37,38,21
Harris/Observer,04/04/1992,38,40,17
NOP/Mail on Sunday,04/04/1992,35,41,20
MORI/Sunday Times,03/04/1992,37,39,21
Gallup/Sunday Telegraph,03/04/1992,37.5,37.5,21
NOP/Independent on Sunday,03/04/1992,38,41,17
ICM/PA,03/04/1992,36.2,38.7,20.4
ICM/Sunday Express,03/04/1992,37,39,19
Gallup/Telegraph,01/04/1992,38,37.5,20.5
NOP/Independent,01/04/1992,37,39,19
Neilsen,1992-03-31*,39.8,39.6,17.2
Harris/ITN,31/03/1992,35,41,19
ICM/Guardian,31/03/1992,37,41,18
Harris/Express,30/03/1992,40,39,17
MORI/Times,30/03/1992,35,42,19
Audience Selection,29/03/1992,37,39,19
NOP/Independent on Sunday,28/03/1992,39,40,16
NOP/Mail on Sunday,28/03/1992,37,41,18
MORI/Sunday Times,27/03/1992,38,40,20
Harris/Observer,27/03/1992,40,38,17
ICM/Sunday Express,27/03/1992,36,38,20
NOP/Independent,25/03/1992,39,42,14
Gallup/Telegraph,25/03/1992,40,40.5,16.5
MORI,24/03/1992,38,41,17
ICM/Guardian,24/03/1992,39,40,17
NMR/EUR,24/03/1992,38,39,19
Harris/Express,23/03/1992,43,38,15
Harris/ITN,23/03/1992,38,42,16
MORI/Times,23/03/1992,38,41,17
NOP/Independent on Sunday,21/03/1992,38,40,16
NOP/Mail on Sunday,21/03/1992,39,41,15
MORI/Sunday Times,20/03/1992,38,41,19
Harris/Observer,20/03/1992,40,39,17
ICM/Sunday Express,20/03/1992,37,42,16
Gallup/Telegraph,18/03/1992,40.5,38.5,18
NOP/Independent,18/03/1992,38,42,17
ICM/Guardian,17/03/1992,38,43,16
Harris/Express,16/03/1992,41,38,17
MORI/Times,16/03/1992,38,43,16
Harris/Express,13/03/1992,39,40,16
Harris/LWT,13/03/1992,37,41,17
MORI/Sunday Times,13/03/1992,40,39,16
NOP/Independent on Sunday,13/03/1992,40,41,14
ICM/Sunday Express,13/03/1992,39,40,16
MORI/Times,12/03/1992,38,41,16
Harris/Observer,12/03/1992,40,43,12
Gallup,12/03/1992,41,38.5,15
NOP/Mail on Sunday,11/03/1992,41,40,15
