House,Date,Con,Lab,LD
Gallup/Telegraph,02/05/1979,49,38.5,9
NOP/Daily Mail,02/05/1979,46,39,12.5
Gallup/Telegraph,02/05/1979,43,41,13.5
MORI/Evening Standard,02/05/1979,45,37,15
MORI/Express,01/05/1979,44.4,38.8,13.5
Marplan/Sun,01/05/1979,45,38.5,13.5
NOP/Daily Mail,30/04/1979,42.4,43.1,12.2
MORI/Express,26/04/1979,44,41,12
Gallup/Sunday Telegraph,25/04/1979,48,40,10.5
Research Srv/Observer,25/04/1979,49.5,38,10
Marplan/Sun,25/04/1979,48,40,10
MORI/Express,23/04/1979,46,40,11
Gallup/Telegraph,21/04/1979,46.5,41.5,10
Marplan/Sun,19/04/1979,50,40,9
Gallup/Sunday Telegraph,18/04/1979,47.5,42,9
Marplan/Sun,18/04/1979,51,41,6
Research Srv/Observer,18/04/1979,54,34,9.5
MORI/Express,17/04/1979,50,38,10
NOP/Daily Mail,14/04/1979,48,42,8
Research Srv/Observer,11/04/1979,53,37,8
Gallup/Telegraph,09/04/1979,50,40,8
MORI/Express,09/04/1979,49,39,10
Research Srv/Observer,04/04/1979,54.5,33.5,9
NOP/Daily Mail,03/04/1979,48,42,8
MORI/Express,02/04/1979,51,38,10
MORI/Thames,29/03/1979,51,42,5
Gallup/Telegraph,28/03/1979,47.5,40.5,9
Gallup/Telegraph,12/03/1979,51.5,37,8.5
MORI,05/03/1979,52,39,7
Gallup/Telegraph,12/02/1979,53,33,11
NOP,1979-02-08*,49,40.7,7.4
MORI,01/02/1979,55,36,6
Gallup/Telegraph,15/01/1979,49,41.5,6
NOP,1979-01-04*,42.5,49.1,5.7
Gallup/Telegraph,11/12/1978,48,42.5,6
NOP,1978-12-07*,44.7,47.9,4.6
Gallup/Telegraph,13/11/1978,43,48,6.5
NOP,1978-11-09*,44.8,46.8,6.2
MORI,08/11/1978,47,46,5
Gallup/Telegraph,23/10/1978,42,47.5,7.5
NOP,1978-10-12*,44.2,48.5,4.7
Gallup/Telegraph,11/09/1978,49.5,42.5,6
MORI,11/09/1978,48,42,8
NOP,1978-09-05*,48,45.8,4.8
MORI,04/09/1978,47,45,5
Gallup/Telegraph,14/08/1978,43.5,47.5,6
MORI,14/08/1978,47,44,6
NOP,1978-08-09*,42.4,48.5,6.3
Gallup/Telegraph,17/07/1978,45,43,8.5
MORI,11/07/1978,49,41,6
NOP,1978-07-05*,46.5,44.4,6.3
MORI,1978-06-30*,48,42,6
NOP,1978-06-14*,49.1,42.3,6.3
MORI,13/06/1978,46,45,6
Gallup/Telegraph,12/06/1978,45.5,45.5,6
MORI,24/05/1978,45,46,6
Gallup/Telegraph,15/05/1978,43.5,43.5,8.5
NOP,1978-05-09*,43.1,48,7
Gallup/Telegraph,17/04/1978,45.5,43.5,7.5
MORI,13/04/1978,46,44,7
NOP,1978-04-12*,46.2,44.5,6.6
Gallup/Telegraph,20/03/1978,48,41,8
NOP,1978-03-08*,44.6,45.6,7.3
NOP,1978-02-15*,45.3,44.6,7.1
Gallup/Telegraph,13/02/1978,48,39,9
NOP,1978-01-18*,44,45.5,7.5
Gallup/Telegraph,16/01/1978,43.5,43.5,8.5
NOP,1977-12-14*,40.8,48.8,7
Gallup/Telegraph,12/12/1977,44,44.5,8
NOP,1977-12-07*,44.6,44.1,7.5
NOP,1977-11-30*,43.2,47.5,6.3
NOP,1977-11-23*,46.7,44.3,6.2
NOP,1977-11-16*,42.5,48.5,6.2
Gallup/Telegraph,14/11/1977,45.5,42,8.5
NOP,1977-11-09*,45.5,44.1,7
NOP,1977-10-26*,46.7,43,6.9
MORI,26/10/1977,45,44,7
Gallup/Telegraph,24/10/1977,45,45,8
NOP,1977-10-19*,44.1,45.8,7.3
MORI,22/09/1977,49,42,5
NOP,1977-09-14*,48,41.8,7.3
Gallup/Telegraph,12/09/1977,45.5,41,8.5
Gallup/Telegraph,15/08/1977,48.5,37.5,9
NOP,1977-08-10*,51.3,38.2,7.1
Gallup/Telegraph,18/07/1977,49,34.5,10.5
NOP,1977-07-13*,53.1,35.1,8.4
NOP,1977-06-22*,49.1,37.1,10.8
Gallup/Telegraph,13/06/1977,47.5,37,10.5
Gallup/Telegraph,16/05/1977,53.5,33,8.5
NOP,1977-05-11*,52.9,36.9,7.2
NOP,1977-05-02*,48.3,41,6.6
NOP,1977-04-20*,49.4,38.3,9.1
Gallup/Telegraph,18/04/1977,49,33.5,11.5
NOP,1977-03-23*,50.9,35.7,9.7
Gallup/Telegraph,14/03/1977,49.5,33,13
MORI,1977-02-28*,47,38,12
NOP,1977-02-23*,47.3,37.4,10.9
NOP,1977-02-16*,50.2,36.1,10
Gallup/Telegraph,14/02/1977,46,33.5,14
NOP,1977-01-26*,48.4,36.8,10.2
Gallup/Telegraph,17/01/1977,47,34,14.5
NOP,1977-01-02*,50,35.1,11.2
NOP,1976-12-14*,47.9,38.4,10.6
Gallup/Telegraph,13/12/1976,49.5,34,11.5
NOP,1976-11-28*,55.2,31.3,9.4
Gallup/Telegraph,15/11/1976,55,30,11.5
NOP,1976-11-07*,49.3,38.2,9.3
Gallup/Telegraph,18/10/1976,48,36.5,11.5
NOP,1976-10-17*,53.4,34.9,8.3
NOP,1976-10-10*,50.7,35.9,9.5
NOP,1976-09-26*,45.6,39.6,9.9
Gallup/Telegraph,20/09/1976,42.5,42,11
NOP,1976-09-12*,46.5,40.5,9.1
NOP,1976-08-22*,43.9,43.3,9.3
Gallup/Telegraph,16/08/1976,44,41,10
NOP,18/07/1976,43.6,43.5,8.7
Gallup/Telegraph,12/07/1976,41,41,13
NOP,11/07/1976,42.1,44.1,9.5
Gallup/Telegraph,14/06/1976,44,40.5,11
NOP,10/06/1976,45.8,41.2,8.8
NOP,23/05/1976,44.7,43,8.3
Gallup/Telegraph,17/05/1976,44,41,10.5
NOP,16/05/1976,46.5,41.5,8.3
NOP,28/04/1976,41.7,46.1,8.4
Gallup/Telegraph,12/04/1976,41,46.5,9
NOP,11/04/1976,43.6,44.7,9
MORI,09/04/1976,40,46,10
MORI,19/03/1976,40,47,9
Gallup/Telegraph,15/03/1976,44,41.5,9.5
NOP,14/03/1976,46,41.7,8.8
Gallup/Telegraph,16/02/1976,45.5,40.5,10.5
NOP,25/01/1976,42,42.8,11.3
