House,Date,Con,Lab,LD
Gallup/Telegraph,06/06/2001,30,47,18
MORI/Times,05/06/2001,30,45,18
YouGov,??/06/01,33,43,17
ICM/Guardian,04/06/2001,32,43,19
Rasmussen/Independent,03/06/2001,33,44,16
ICM/Evening Standard,03/06/2001,30,47,18
MORI/Sunday Telegraph,02/06/2001,27,50,17
ICM/Observer,01/06/2001,34,46,15
NOP/Sunday Times,01/06/2001,30,47,16
ICM/Channel 4,01/06/2001,31,43,19
Gallup/Telegraph,29/05/2001,31,47,16
MORI/Times,29/05/2001,30,48,16
ICM/Guardian,28/05/2001,28,47,17
Rasmussen/Independent,27/05/2001,32,44,17
NOP/Sunday Telegraph,25/05/2001,30,49,14
Gallup/Telegraph,23/05/2001,32,48,15
Rasmussen/Independent,22/05/2001,32,44,16
MORI,22/05/2001,27,52,16
ICM/Guardian,21/05/2001,32,45,17
Gallup/BES,20/05/2001,25,55,14
NOP/Sunday Times,18/05/2001,30,49,14
MORI/Times,15/05/2001,28,54,12
Gallup/Telegraph,15/05/2001,32,48,13
Gallup/BES,14/05/2001,32,53,11
MORI/Economist,14/05/2001,26,54,14
ICM/Guardian,14/05/2001,31,46,16
Rasmussen/Independent,13/05/2001,32,46,13
ICM/Evening Standard,13/05/2001,32,48,14
MORI/Sunday Telegraph,12/05/2001,31,51,13
ICM/Observer,11/05/2001,32,48,15
NOP/Sunday Times,11/05/2001,32,49,13
MORI/Times,08/05/2001,30,54,13
Gallup/Telegraph,08/05/2001,32,49,13
NOP/Express,06/05/2001,31,51,13
NOP/Channel 4,06/05/2001,34,49,11
NOP/Channel 4,02/05/2001,29,51,13
MORI/Sun,01/05/2001,32,50,13
MORI/Times,24/04/2001,30,50,13
ICM/Guardian,22/04/2001,33,47,14
MORI/Daily Mail,12/04/2001,29,53,12
Gallup/Telegraph,10/04/2001,27,53,15
NOP/Channel 4,04/04/2001,30,52,12
MORI/Sunday Telegraph,31/03/2001,32,48,15
ICM/Guardian,30/03/2001,34,49,13
MORI/Times,27/03/2001,31,50,14
ICM/Guardian,18/03/2001,35,44,16
NOP/Sunday Times,16/03/2001,31,51,13
Gallup/Telegraph,13/03/2001,29,55,12
MORI/Times,20/02/2001,30,50,14
ICM/Guardian,18/02/2001,32,47,15
Gallup/Telegraph,07/02/2001,29,50,17
MORI/Mail on Sunday,26/01/2001,31,49,14
MORI/Times,22/01/2001,31,50,14
ICM/Guardian,21/01/2001,34,44,16
Gallup/Telegraph,16/01/2001,31,51,13
MORI/Sunday Telegraph,13/01/2001,31,52,11
NOP/Sunday Times,12/01/2001,33,48,14
MORI/Mail on Sunday,06/01/2001,35,46,14
2000,,,,
MORI/News of the World,15/12/2000,32,47,16
MORI/Times,12/12/2000,34,46,14
Gallup/Telegraph,13/12/2000,32,47,14
ICM/Guardian,03/12/2000,34,44,16
MORI/Times,28/11/2000,33,48,13
MORI/Mail on Sunday,25/11/2000,34,47,13
Gallup/Telegraph,07/11/2000,34,45,14
ICM/Guardian,05/11/2000,34,40,20
MORI/Mail on Sunday,03/11/2000,34,42,17
MORI/Times,23/10/2000,32,45,17
ICM/Guardian,16/10/2000,35,40,19
MORI/Carlton,10/10/2000,38,40,19
NOP/Sunday Times,13/10/2000,35,42,17
ICM/News of the World,30/09/2000,37,38,20
MORI/Sun,30/09/2000,36,43,16
NOP/Sunday Express,29/09/2000,37,43,13
MORI/Times,26/09/2000,35,37,21
Gallup/Telegraph,26/09/2000,36,39,20
NOP/Channel 4,23/09/2000,40,32,22
MORI/Mail on Sunday,22/09/2000,39,35,21
MORI/Salomon Smith Barney,19/09/2000,36,36,21
Gallup/Telegraph,19/09/2000,40,35,16
ICM/Guardian,17/09/2000,38,34,22
NOP/Sunday Times,16/09/2000,37,37,21
MORI/News of the World,15/09/2000,38,36,18
Gallup/Telegraph,12/09/2000,32,45,16
MORI,12/09/2000,30,45,17
MORI,06/09/2000,32,48,13
MORI/Times,21/08/2000,29,51,15
MORI/News of the World,18/08/2000,32,51,12
ICM/Guardian,13/08/2000,34,44,17
Gallup/Telegraph,07/08/2000,32,47,14
MORI/Times,24/07/2000,33,49,12
MORI/Mail on Sunday,22/07/2000,32,51,11
ICM/Guardian,15/07/2000,35,42,17
MORI/Mail on Sunday,14/07/2000,32,47,15
Gallup/Telegraph,11/07/2000,35,45,14
MORI/Mail on Sunday,30/06/2000,32,46,17
MORI/Times,27/06/2000,33,47,13
ICM/Guardian,26/06/2000,32,43,17
MORI/News of the World,23/06/2000,34,47,14
MORI/Mail on Sunday,09/06/2000,38,41,16
Gallup/Telegraph,06/06/2000,30,49,15
MORI/Times,23/05/2000,32,48,15
MORI/Daily Mail,19/05/2000,33,46,14
ICM/Guardian,15/05/2000,34,41,18
Gallup/Telegraph,09/05/2000,31,47,14
ICM/Conservative Party,07/05/2000,35,43,15
MORI/Times,18/04/2000,27,51,15
ICM/Guardian,15/04/2000,32,45,15
Gallup/Telegraph,11/04/2000,32,50,12
MORI/Times,28/03/2000,29,50,14
ICM/Guardian,19/03/2000,32,44,16
Gallup/Telegraph,07/03/2000,31,51,11
MORI/Times,23/02/2000,29,50,15
ICM/Guardian,14/02/2000,29,44,18
Gallup/Telegraph,07/02/2000,28,49,15
MORI/Daily Mail,28/01/2000,29,49,15
MORI/Times,26/01/2000,30,50,15
ICM/Guardian,18/01/2000,30,47,17
Gallup/Telegraph,13/01/2000,30,53,12
1999,,,,
MORI/Times,14/12/1999,28,54,13
ICM/Guardian,12/12/1999,29,48,17
Gallup/Telegraph,01/12/1999,27,53,15
MORI/Times,22/11/1999,25,55,14
ICM/Guardian,14/11/1999,34,44,15
MORI/Daily Mail,10/11/1999,32,50,12
Gallup/Telegraph,02/11/1999,28,52,14
MORI/Times,25/10/1999,28,56,11
ICM/Guardian,26/10/1999,32,45,17
MORI/Sun,14/10/1999,31,52,13
Gallup/Telegraph,29/09/1999,29,52,13
MORI/Times,27/09/1999,25,52,17
ICM/Guardian,19/09/1999,32,45,16
MORI/Mail on Sunday,11/09/1999,32,49,13
Gallup/Telegraph,01/09/1999,27,52,13
MORI/Times,23/08/1999,27,49,17
ICM/Guardian,15/08/1999,30,48,16
Gallup/Telegraph,04/08/1999,30,51,12
MORI/Times,26/07/1999,28,51,14
ICM/Guardian,11/07/1999,31,48,16
MORI/Times,21/06/1999,28,51,13
ICM/Guardian,05/06/1999,29,46,19
Gallup/Telegraph,02/06/1999,24,52,16
MORI/Times,24/05/1999,28,52,14
ICM/Guardian,08/05/1999,28,51,16
MORI/Mail on Sunday,01/05/1999,30,50,14
Gallup/Telegraph,28/04/1999,29,52,13
MORI/Times,26/04/1999,25,56,13
ICM/Guardian,17/04/1999,29,52,16
Gallup/Telegraph,07/04/1999,27,54,13
MORI/Times,22/03/1999,27,54,13
ICM/Guardian,07/03/1999,29,52,16
Gallup/Telegraph,04/03/1999,30,52,11
MORI/Times,22/02/1999,30,51,14
ICM/Guardian,07/02/1999,28,49,16
Gallup/Telegraph,03/02/1999,29,53,13
MORI/Times,25/01/1999,24,56,14
NOP/Evening Standard,12/01/1999,25,57,12
Gallup/Telegraph,06/01/1999,29,52,13
ICM/Guardian,03/01/1999,30,50,15
1998,,,,
MORI/Times,14/12/1998,27,54,12
NOP/Evening Standard,15/12/1998,27,55,12
ICM/Guardian,07/12/1998,29,49,16
Gallup/Telegraph,02/12/1998,29,55,11
MORI/Times,23/11/1998,29,53,13
ICM/Guardian,06/11/1998,27,51,17
Gallup/Telegraph,04/11/1998,28,54,14
MORI/Times,26/10/1998,26,53,16
ICM/Guardian,04/10/1998,29,51,15
Gallup/Telegraph,30/09/1998,23,57,15
MORI/Times,21/09/1998,24,56,15
ICM/Guardian,06/09/1998,29,48,17
Gallup/Telegraph,03/09/1998,28,54,12
MORI/Times,24/08/1998,28,52,14
ICM/Guardian,09/08/1998,31,47,17
Gallup/Telegraph,05/08/1998,28,53,13
MORI/Times,21/07/1998,28,53,14
ICM/Guardian,04/07/1998,27,52,17
Gallup/Telegraph,01/07/1998,28,52,14
MORI/Times,30/06/1998,27,56,13
MORI/Sun,26/06/1998,28,51,15
ICM/Guardian,06/06/1998,29,51,16
Gallup/Telegraph,03/06/1998,28,54,12
MORI/Times,24/05/1998,26,55,14
ICM/Guardian,19/05/1998,29,50,16
Gallup/Telegraph,29/04/1998,25,54,16
MORI/Times,27/04/1998,27,55,14
MORI/Sun,26/04/1998,30,54,13
ICM/Observer,22/04/1998,29,52,16
ICM/Guardian,05/04/1998,31,48,16
Gallup/Telegraph,01/04/1998,26,54,16
MORI/Times,23/03/1998,28,53,14
ICM/Guardian,08/03/1998,33,46,17
Gallup/Telegraph,04/03/1998,29,51,14
MORI/Times,23/02/1998,28,52,15
ICM/Guardian,08/02/1998,31,47,18
Gallup/Telegraph,04/02/1998,29,54,11
MORI/Times,26/01/1998,28,54,14
ICM/Guardian,11/01/1998,30,48,17
Gallup/Telegraph,07/01/1998,26,56,12
1997,,,,
MORI/Times,15/12/1997,26,55,15
ICM/Guardian,06/12/1997,29,50,17
Gallup/Telegraph,03/12/1997,21,57,17
MORI/Times,24/11/1997,24,56,16
MORI/Sun,14/11/1997,30,56,11
ICM/Guardian,08/11/1997,30,52,14
Gallup/Telegraph,04/11/1997,23,63,11
MORI/Times,27/10/1997,24,60,12
ICM/Guardian,06/10/1997,23,59,13
Gallup/Telegraph,01/10/1997,22,60,14
MORI/Times,29/09/1997,25,59,13
ICM/Guardian,08/09/1997,24,60,10
Gallup/Telegraph,03/09/1997,26,58,12
MORI/Times,25/08/1997,28,54,15
Gallup/Telegraph,06/08/1997,25,58,12
MORI/Times,28/07/1997,23,57,15
ICM/Guardian,28/06/1997,23,61,12
MORI/Times,23/06/1997,24,58,15
Gallup/Telegraph,04/06/1997,23,59,13
