House,Date,Con,Lab,LD
Ipsos-MORI/Evening Standard, 2010-05-05,36,29,27
ComRes/ITV/Independent, 2010-05-05,37,28,28
Angus Reid/Political Betting, 2010-05-05,36,24,29
Populus/Times, 2010-05-05,37,28,27
YouGov/Sun, 2010-05-05,35,28,28
ICM/Guardian, 2010-05-05,36,28,26
Opinium/Express, 2010-05-05,35,27,26
Harris/Daily Mail, 2010-05-05,35,29,27
TNS BMRB/, 2010-05-04,33,27,29
YouGov/Sun, 2010-05-04,35,30,24
ComRes/ITV/Independent, 2010-05-03,37,29,26
YouGov/Sun, 2010-05-03,35,28,28
Opinium/Express, 2010-05-03,33,28,27
ComRes/ITV/Independent, 2010-05-02,37,29,26
YouGov/Sun, 2010-05-02,34,28,29
ICM/Guardian, 2010-05-02,33,28,28
ComRes/Ind on Sun/S. Mirror, 2010-05-01,38,28,25
BPIX/Mail on Sunday, 2010-05-01,34,27,30
YouGov/Sunday Times, 2010-05-01,35,27,28
Angus Reid/Sunday Express, 2010-04-30,35,23,29
ICM/Sunday Telegraph, 2010-04-30,36,29,27
YouGov/Sun, 2010-04-30,34,28,28
Harris/Daily Mail, 2010-04-30,33,24,32
YouGov/Sun, 2010-04-29,34,27,28
YouGov/Sun, 2010-04-28,34,27,31
ComRes/ITV/Independent, 2010-04-27,36,29,26
YouGov/Sun, 2010-04-27,33,29,28
Populus/Times, 2010-04-27,36,27,28
TNS BMRB/, 2010-04-27,34,27,30
ComRes/ITV/Independent, 2010-04-26,33,29,29
YouGov/Sun, 2010-04-26,33,28,29
Angus Reid/Economist, 2010-04-26,33,23,30
Opinium/Express, 2010-04-26,34,25,28
Harris/Metro, 2010-04-26,32,25,30
ComRes/ITV/Independent, 2010-04-25,32,28,31
YouGov/Sun, 2010-04-25,34,28,30
ICM/Guardian, 2010-04-25,33,28,30
ComRes/Ind on Sun/S. Mirror, 2010-04-24,34,28,29
BPIX/Mail on Sunday, 2010-04-24,34,26,30
YouGov/Sunday Times, 2010-04-24,35,27,28
ICM/Sunday Telegraph, 2010-04-23,35,26,31
Ipsos-MORI/News of the World, 2010-04-23,36,30,23
Harris/Daily Mail, 2010-04-23,34,26,29
YouGov/Sun, 2010-04-23,34,29,29
YouGov/Sun, 2010-04-22,34,29,28
YouGov/Sun, 2010-04-21,33,27,31
ComRes/Independent/ITV, 2010-04-20,35,25,27
Angus Reid/Political Betting, 2010-04-20,32,23,33
Populus/Times, 2010-04-20,32,28,31
TNS BMRB/, 2010-04-20,34,29,30
YouGov/Sun, 2010-04-20,31,26,34
Harris/Metro, 2010-04-19,31,26,30
Ipsos-MORI/Evening Standard, 2010-04-19,32,28,32
ComRes/Independent/ITV, 2010-04-19,35,26,26
YouGov/Sun, 2010-04-19,33,27,31
Angus Reid/Political Betting, 2010-04-19,32,24,32
Opinium/Express, 2010-04-19,32,26,29
ICM/Guardian, 2010-04-18,33,28,30
ComRes/Independent/ITV, 2010-04-18,32,28,28
YouGov/Sun, 2010-04-18,32,26,33
YouGov/Sunday Times, 2010-04-17,33,30,29
BPIX/Mail on Sunday, 2010-04-17,31,28,32
ComRes/Ind on Sun/S. Mirror, 2010-04-17,31,27,29
YouGov/Sun, 2010-04-16,33,28,30
ICM/Sunday Telegraph, 2010-04-15,34,29,27
YouGov/Sun, 2010-04-15,37,31,22
YouGov/Sun, 2010-04-14,41,32,18
TNS BMRB/, 2010-04-13,36,33,22
Harris/Metro, 2010-04-13,36,27,23
ComRes/Independent/ITV, 2010-04-13,35,29,21
YouGov/Sun, 2010-04-13,39,31,20
Populus/Times, 2010-04-13,36,33,21
ComRes/Independent/ITV, 2010-04-12,36,31,19
YouGov/Sun, 2010-04-12,39,33,20
Angus Reid/Political Betting, 2010-04-12,38,28,22
Opinium/Express, 2010-04-12,39,31,17
ComRes/Independent/ITV, 2010-04-11,37,30,20
YouGov/Sun, 2010-04-11,37,31,20
ICM/Guardian, 2010-04-11,37,31,20
BPIX/Mail on Sunday, 2010-04-10,38,31,20
YouGov/Sunday Times, 2010-04-10,40,32,18
ComRes/Ind on Sun/S. Mirror, 2010-04-10,39,32,16
YouGov/Sun, 2010-04-09,40,30,20
Harris/Daily Mail, 2010-04-08,37,27,22
YouGov/Sun, 2010-04-08,40,31,18
ICM/Sunday Telegraph, 2010-04-07,38,30,21
YouGov/Sun, 2010-04-07,37,32,19
Populus/Times, 2010-04-07,39,32,21
Angus Reid/Political Betting, 2010-04-07,37,26,22
Harris/Metro, 2010-04-06,37,28,20
YouGov/Sun, 2010-04-06,40,32,17
YouGov/Sun, 2010-04-05,41,31,18
Opinium/Express, 2010-04-05,39,29,17
ICM/Guardian, 2010-04-03,37,33,21
YouGov/Sunday Times, 2010-04-02,39,29,20
Angus Reid/Sunday Express, 2010-04-01,38,27,20
YouGov/Sun, 2010-04-01,39,31,19
ICM/Guardian, 2010-03-31,38,29,23
YouGov/Sun, 2010-03-31,38,32,19
Angus Reid/Political Betting, 2010-03-31,37,28,22
TNS BMRB/, 2010-03-30,38,33,19
YouGov/Sun, 2010-03-30,38,31,19
Harris/Metro, 2010-03-29,37,27,19
YouGov/Sun, 2010-03-29,39,32,18
Opinium/Express, 2010-03-29,38,28,18
ComRes/Independent, 2010-03-28,37,30,20
BPIX/Mail on Sunday, 2010-03-27,37,30,20
YouGov/Sunday Times, 2010-03-26,37,32,19
ICM/News of the World, 2010-03-25,39,31,19
YouGov/Sun, 2010-03-25,37,33,18
YouGov/Sun, 2010-03-24,36,34,17
YouGov/Sun, 2010-03-23,37,33,18
Harris/Metro, 2010-03-22,35,28,17
Ipsos-MORI/Mirror, 2010-03-22,35,30,21
YouGov/Sun, 2010-03-22,36,32,20
Opinium/Express, 2010-03-22,37,30,15
YouGov/Sunday Times, 2010-03-19,38,31,19
ICM/News of the World, 2010-03-18,38,32,19
YouGov/Sun, 2010-03-18,36,32,20
YouGov/Sun, 2010-03-17,36,32,20
Angus Reid/Political Betting, 2010-03-17,39,26,21
YouGov/Sun, 2010-03-16,37,32,19
Harris/Metro, 2010-03-16,36,28,18
YouGov/Sun, 2010-03-15,37,32,21
Opinium/Express, 2010-03-15,39,28,16
ICM/Guardian, 2010-03-14,40,31,20
YouGov/Sunday Times, 2010-03-12,37,33,17
ICM/Sunday Telegraph, 2010-03-11,38,31,21
YouGov/Sun, 2010-03-11,37,34,17
Angus Reid/Political Betting, 2010-03-11,39,26,18
