House,Date,Con,Lab,LD
ICM/Guardian,30/04/1997,33,43,18
Gallup/Telegraph,30/04/1997,33,46,16
MORI/Evening Standard,30/04/1997,29,47,19
NOP/Reuters,29/04/1997,28,50,14
Gallup/Telegraph,29/04/1997,31,51,13
MORI/Times,29/04/1997,27,51,15
Harris/Independent,29/04/1997,31,48,15
Gallup/Telegraph,28/04/1997,29,51,13
Gallup/Channel 4,28/04/1997,31,49,14
Gallup/Telegraph,27/04/1997,30,49,14
Gallup/Sumday Telegraph,26/04/1997,31,48,13
Gallup/Telegraph,25/04/1997,32,48,14
ICM/Observer,25/04/1997,32,47,16
NOP/Sunday Times,25/04/1997,29,47,16
MORI/Independent on Sunday,24/04/1997,29,53,12
Gallup/Telegraph,24/04/1997,32,48,12
Gallup/Telegraph,23/04/1997,30,50,12
MORI/Times,22/04/1997,27,48,17
Gallup/Telegraph,22/04/1997,30,51,12
Gallup/Channel 4,22/04/1997,31,50,13
ICM/Guardian,21/04/1997,37,42,14
Gallup/Telegraph,21/04/1997,32,48,12
Gallup/Telegraph,20/04/1997,32,48,13
Harris/Independent,20/04/1997,30,48,15
Gallup/Sunday Telegraph,19/04/1997,31,50,13
ICM/Observer,18/04/1997,31,48,15
NOP/Sunday Times,18/04/1997,29,47,17
Gallup/Telegraph,18/04/1997,32,50,13
Gallup/Telegraph,17/04/1997,31,50,12
Gallup/Telegraph,16/04/1997,31,50,11
MORI/Times,15/04/1997,32,49,13
Gallup/Telegraph,15/04/1997,30,51,12
ICM/Guardian,14/04/1997,31,45,19
Gallup/Telegraph,14/04/1997,32,49,14
Harris/Independent,14/04/1997,31,49,13
MORI/Evening Standard,14/04/1997,29,50,15
Gallup/Telegraph,13/04/1997,30,50,14
Gallup/Telegraph,12/04/1997,32,49,14
Gallup/Sunday Telegraph,12/04/1997,31,50,13
NOP/Sunday Times,11/04/1997,28,49,16
ICM/Observer,11/04/1997,32,48,15
Gallup/Telegraph,11/04/1997,32,52,11
Gallup/Telegraph,10/04/1997,30,52,11
Gallup/Telegraph,09/04/1997,29,53,12
MORI/Times,08/04/1997,34,49,12
Gallup/Telegraph,08/04/1997,32,51,11
Harris/Independent,07/04/1997,28,54,12
Gallup/Telegraph,07/04/1997,33,53,10
ICM/Guardian,07/04/1997,34,46,15
Gallup/Telegraph,06/04/1997,30,55,10
ICM/Observer,04/04/1997,30,50,14
MORI/Independent on Sunday,04/04/1997,30,55,9
NOP/Reuters,04/04/1997,29,52,11
NOP/Sunday Times,04/04/1997,26,53,12
Gallup/Channel 4,03/04/1997,30,54,11
Harris/Central News,03/04/1997,29,55,11
MORI/Times,01/04/1997,28,55,11
ICM/Guardian,31/03/1997,32,46,17
Harris/Independent,31/03/1997,28,52,14
Gallup/Telegraph,28/03/1997,31,52,11
Harris/Independent,24/03/1997,28,56,10
MORI/Times,24/03/1997,29,50,14
Gallup/Sunday Telegraph,21/03/1997,27,56,11
Gallup/Telegraph,17/03/1997,28.5,56.5,9.5
Harris/Independent,17/03/1997,27,58,10
NOP/Reuters,14/03/1997,29,54,11
NOP/Sunday Times,13/03/1997,26,54,13
Harris/Independent,10/03/1997,26,53,14
ORB/Ladbrokes,09/03/1997,26,56,12
Gallup/Telegraph,04/03/1997,28,54,12.5
Harris/Independent,03/03/1997,30,55,10
ICM/Guardian,02/03/1997,30,48,16
MORI/Times,24/02/1997,31,52,11
NOP/Reuters,21/02/1997,29,51,14
NOP/Sunday Times,13/02/1997,30,49,13
Gallup/Telegraph,04/02/1997,34,49,12
ICM/Guardian,02/02/1997,32,48,15
MORI/Times,28/01/1997,30,55,11
NOP/Sunday Times,16/01/1997,31,54,12
Gallup/Telegraph,15/01/1997,32.5,50.5,10.5
ICM/Guardian,05/01/1997,31,48,16
ORB/Ladbrokes,05/01/1997,30,53,12
ICM/Observer,14/12/1996,30,50,14
MORI/Times,09/12/1996,30,51,13
Gallup/Telegraph,02/12/1996,22,59,12
ICM/Guardian,01/12/1996,31,50,15
MORI/Euro,29/11/1996,30,52,13
NOP/Sunday Times,14/11/1996,26,56,13
MORI/Times,11/11/1996,33,50,12
Gallup/Telegraph,05/11/1996,28,55,11
ICM/Guardian,02/11/1996,34,47,15
MORI/Mail on Sunday,01/11/1996,30,54,12
MORI/Times,28/10/1996,28,56,12
MORI,21/10/1996,27,54,12
NOP/Sunday Times,17/10/1996,33,47,14
MORI,14/10/1996,30,53,12
MORI,07/10/1996,29,54,13
ICM/Guardian,05/10/1996,31,49,16
Gallup/Telegraph,04/10/1996,24,57,15
NOP/Sunday Times,03/10/1996,25,57,13
Gallup/Telegraph,01/10/1996,27.5,52,15
Gallup/Telegraph,24/09/1996,27,54,13.5
MORI/Times,23/09/1996,29,52,14
NOP/Sunday Times,19/09/1996,31,50,14
MORI,09/09/1996,28,56,12
ICM/Guardian,07/09/1996,32,47,16
Gallup/Telegraph,03/09/1996,25.5,58.5,11
MORI/Times,25/08/1996,30,51,13
NOP/Sunday Times,15/08/1996,28,54,14
MORI,12/08/1996,30,52,13
Gallup/Telegraph,05/08/1996,25,59,11
ICM/Guardian,03/08/1996,33,45,19
MORI/Times,28/07/1996,29,53,12
NOP/Sunday Times,25/07/1996,29,51,16
ICM/Guardian,06/07/1996,30,45,21
Gallup/Telegraph,01/07/1996,26,54.5,14.5
MORI,01/07/1996,32,52,12
MORI/Times,24/06/1996,31,52,12
NOP/Sunday Times,20/06/1996,27,55,15
MORI,10/06/1996,27,56,13
ICM/Guardian,06/06/1996,30,46,19
Gallup/Telegraph,03/06/1996,22.5,57,16
ICM/Guardian,02/06/1996,30,46,19
MORI/Times,26/05/1996,27,54,15
NOP/Sunday Times,16/05/1996,27,52,17
MORI,13/05/1996,27,56,13
Gallup/Telegraph,06/05/1996,24.5,55.5,15.5
ICM/Guardian,05/05/1996,28,45,21
ICM/Sunday Express,03/05/1996,26,52,15
MORI/Sun,27/04/1996,29,54,13
NOP/Sunday Times,25/04/1996,28,52,16
MORI/Times,22/04/1996,28,54,14
ICM/Guardian,13/04/1996,29,50,17
Gallup/Telegraph,01/04/1996,26,55.5,15.5
MORI/Times,25/03/1996,28,57,13
NOP/Sunday Times,14/03/1996,27,55,14
MORI,11/03/1996,29,55,13
Gallup/Telegraph,04/03/1996,23,57.5,16
ICM/Guardian,04/03/1996,31,45,20
MORI/Times,26/02/1996,26,57,14
NOP/Sunday Times,16/02/1996,25,54,16
MORI,12/02/1996,26,57,14
Gallup/Telegraph,05/02/1996,28,54.5,14.5
ICM/Guardian,04/02/1996,31,47,19
MORI,29/01/1996,28,54,15
MORI/Times,22/01/1996,29,55,13
NOP/Sunday Times,19/01/1996,25,54,18
NOP,17/01/1996,33,47,14
